x,y
0.1525212824344635,-1.9931615591049194
0.185466039461077,-2.0328462775820255
0.21638013169129955,-2.0736084509902026
0.24543701913247426,-2.115358861445721
0.27281016179194423,-2.158008291064847
0.2986730196770527,-2.2014675219638504
0.3231990527951427,-2.2456473362589984
0.3465617211535576,-2.290458516066559
0.36893448475964025,-2.335811843502801
0.3904908036207341,-2.3816181006839923
0.41140413774418205,-2.427788069726401
0.4318479471373275,-2.4742325327462953
0.4519956918075134,-2.520862271859944
0.472020831762083,-2.5675880691836137
0.49209682700837937,-2.614320706833575
0.5123800357763326,-2.660977845499222
0.5327595955041916,-2.7075846257951612
0.5529129846623548,-2.754251320521596
0.5725118819265961,-2.801090535236929
0.5912279659726885,-2.848214875499563
0.6087329154764056,-2.8957369468678995
0.6246984098753997,-2.943769354645945
0.6389567245981037,-2.992371080055037
0.6519504249820063,-3.0413973244065886
0.6642670223629863,-3.0906548905671802
0.6764940280769225,-3.139950581403391
0.6892189534596939,-3.1890911997818017
0.7030293098471795,-3.237883548568993
0.7184130228556909,-3.286165571417715
0.7353442531573858,-3.3339358679898057
0.7536319613686725,-3.381244696554721
0.7730850298916251,-3.4281423398397997
0.7935123411283179,-3.4746790805723786
0.8147227774808251,-3.520905201479798
0.8365252213512208,-3.5668709852893956
0.8587306621890063,-3.612626724839826
0.8811942495184656,-3.658222924885478
0.9038130274360185,-3.7037102912247595
0.9264856935909902,-3.7491395375911636
0.9491109456327046,-3.7945613777181824
0.9715874812104872,-3.840026525339306
0.9938139979736622,-3.8855856941880287
1.0156891935715544,-3.931289597997841
1.037111765653489,-3.977188950502236
1.05798041186879,-4.023334465434704
1.0782190570911647,-4.069765346893135
1.0979092703794802,-4.116448875600133
1.1171933962944816,-4.163324604143426
1.1362139081409068,-4.210332026372753
1.155113279223493,-4.257410636137849
1.174033982846978,-4.304499927288453
1.1931184923160987,-4.3515393936743
1.2125092809355933,-4.39846852914513
1.232348822010199,-4.4452268275506785
1.252741413405758,-4.491768284352123
1.2734693120583935,-4.538169227918006
1.294153195350484,-4.584567365450302
1.3144125267095983,-4.63110086529305
1.333866769563306,-4.677907895790292
1.3521353873391764,-4.725126625286068
1.368878095522676,-4.772881846668948
1.3843453374775485,-4.821102058405682
1.3992364582131271,-4.869566592329428
1.414262017603057,-4.918051053658451
1.4301325755209835,-4.966331047611022
1.4475217413334616,-5.014192542380054
1.4663186891192168,-5.0616415053855475
1.4856628708379502,-5.108894167773876
1.5046637350348755,-5.156175175315406
1.5224307302552065,-5.2037091737805055
1.5380733050441573,-5.251720808939543
1.5507009079469418,-5.300434726562886
1.5597247267867582,-5.35000360467401
1.5658988056030552,-5.4002598370532136
1.5703506175660291,-5.450946751008098
1.574207650943585,-5.501807670245317
1.5785831102309904,-5.5525891354109165
1.584074224192681,-5.6031538933309655
1.590629842848323,-5.6535107163374665
1.5981576179924148,-5.703677655277056
1.6065652014194556,-5.753672760996368
1.615760244923944,-5.80351408434204
1.6256502297417987,-5.8532197135471495
1.6360742825586054,-5.902822720163518
1.6466989536618653,-5.952394004492709
1.6571639778437035,-6.002010344793394
1.6671090898962437,-6.051748519324239
1.6761740246116104,-6.101685306343909
1.6839985167819278,-6.151897484111075
1.6902215530505649,-6.202455533911014
1.694466934100054,-6.253302120748481
1.6963443194068304,-6.304260886776453
1.6954628295823666,-6.3551509386617555
1.6914315852381363,-6.405791383071206
1.683860089178241,-6.456001207692126
1.67248831328363,-6.505558784185348
1.6573764575143666,-6.554142794749205
1.6386329584641397,-6.601416905147202
1.6163851577137818,-6.647071159970952
1.590907628417887,-6.69100104147493
1.5625439918619355,-6.733198377325612
1.5316246592990588,-6.773641155963219
1.4982346054667472,-6.812047749986751
1.4622458862968897,-6.84791131247283
1.4235249475722314,-6.880719066187158
1.3821403439929938,-6.910172568414529
1.3385682322518966,-6.936405634343699
1.2933336881810436,-6.959604219488762
1.2469049168547774,-6.9800657037292435
1.1995951741977984,-6.9983910519741785
1.151691572791677,-7.015232450630834
1.1034812252179838,-7.031242086106484
1.0552256727958544,-7.0470163256035185
1.0069843978883666,-7.062710464230441
0.9587209390978622,-7.078270362600643
0.9103982544274759,-7.093640613944412
0.861979301880345,-7.108765811492042
0.8134335807142643,-7.123604287845965
0.764794733910489,-7.138249104270557
0.7161327593583906,-7.152869682550922
0.667518070329094,-7.167636316947684
0.6190210800937243,-7.182719301721456
0.5707122019234065,-7.198288931132859
0.5226618490892657,-7.214515499442509
