x_m,y_m,left_x_m,left_y_m,right_x_m,right_y_m,w_tr_left_m,w_tr_right_m,w_total_m
-14.598965009053547,-4.489722013473511,-15.683643625417382,-4.4805209069250544,-13.37518210936149,-4.500103113167347,1.0847176412129935,1.2238269292712727,2.3085445704842664
-14.583451271057127,-2.6608746051788326,-15.660614693745188,-2.6510840118177867,-13.386957989449831,-2.6717498158782518,1.0772079162795918,1.1965427042689083,2.2737506205485003
-14.565317789713541,-0.6658246517181396,-15.662317183509177,-0.614731129313241,-13.361858611339294,-0.7218766138627064,1.0981886076716203,1.2047638011135113,2.3029524087851314
-14.447298049926756,1.8681087493896484,-15.613440654316094,1.9440119669011422,-13.131008752616674,1.782432612984275,1.168610231086715,1.3190746432868845,2.4876848743735995
-14.26049486796061,4.738068103790283,-15.544107595597964,4.826237520313308,-12.78726570378858,4.636874221077047,1.2866372762214773,1.4767005018166677,2.763337778038145
-14.051162719726562,7.785626093546549,-15.490310068311029,7.86490011812239,-12.449996492126743,7.6974274174335005,1.4413290609399894,1.6035935566328292,3.0449226175728183
-13.901742935180662,10.498205502827961,-15.444842146042461,10.601908225541893,-12.361107051325307,10.394668325994493,1.5465799136354352,1.5441110302078078,3.090690943843243
-13.757012685139973,12.651795387268066,-15.301590980259572,12.825885082634747,-12.361108377682388,12.49446276359067,1.5543581735840148,1.404742819896885,2.9591009934808996
-13.589819908142088,14.135182062784828,-15.042534938998353,14.526477623580877,-12.390404277518266,13.812113875395136,1.5044910025568163,1.2421638010697313,2.746654803626548
-13.309586524963377,15.175570170084633,-14.575559356704325,15.9716217792217,-12.322539858999006,14.554909072915764,1.4954549057447062,1.1659679748304603,2.6614228805751665
-12.830591837565102,15.937322616577148,-13.879062193790563,17.060213761941416,-12.06189572951304,15.11406419245245,1.5362859799597945,1.1263428161206814,2.662628796080476
-12.117686907450357,16.6029790242513,-12.913776291445947,17.912909621607106,-11.538463746462279,15.649892402913272,1.532865446541023,1.1152908042293548,2.648156250770378
-11.25463040669759,17.127487818400063,-11.7124926783117,18.527160886871982,-10.90620960676982,16.062374485442678,1.4726583304939527,1.1206531425315764,2.593311473025529
-10.215641657511393,17.467362721761067,-10.453032469856208,18.84608256420195,-10.02759347801967,16.37521533054892,1.3990077918746358,1.1082184089526994,2.5072262008273354
-9.062657356262207,17.66588592529297,-9.114524088264247,19.03451234398347,-9.021820067454644,16.58829745630042,1.369608860889179,1.078361995186615,2.447970856075794
-7.683550834655761,17.71814982096354,-7.651297066647784,19.112096844650157,-7.707805132630045,16.66992480537777,1.394320124790393,1.0485055814205309,2.4428257062109235
-6.329330285390218,17.68681526184082,-6.126910503668264,19.145786901911755,-6.475342605868321,16.634409054965648,1.472946711379484,1.0624869043902558,2.53543361576974
