x,y
6.265706539154053,-4.485154628753662
6.223290007662099,-4.443919914440736
6.181599474036021,-4.401918872081748
6.140540763645107,-4.359250683303038
6.10001970185864,-4.316014529730942
6.059942114045908,-4.272309592991797
6.020213825576195,-4.22823505471194
5.980740661818786,-4.183890096517709
5.941428448142968,-4.139373900035443
5.902183009918026,-4.094785646891475
5.862910172513245,-4.050224518712148
5.8235157612979105,-4.005789697123795
5.783905601641308,-3.9615803637527556
5.743985518912724,-3.9176957002253663
5.703661338481441,-3.874234888167966
5.662838885716749,-3.8312971092068895
5.6214239859879305,-3.788981544968476
5.579322464664272,-3.747387377079062
5.536440147115058,-3.706613787164986
5.492715851103233,-3.666724471031363
5.448303647139807,-3.6275516038299487
5.403443933294,-3.588834508877347
5.358377339145054,-3.5503122604835804
5.313344494272209,-3.5117239329586707
5.268586028254706,-3.4728086006126393
5.224313404454028,-3.4333379186548783
5.180511919310254,-3.3933361880703803
5.137061194555243,-3.3529457565879044
5.093840253899241,-3.312309639972166
5.050728121052492,-3.271570853987879
5.007603819725235,-3.2308724143997596
4.964346373627715,-3.1903573369725216
4.920834806470176,-3.150168637470882
4.87694814196286,-3.110449331659554
4.83256540381601,-3.0713424353032543
4.787571286366856,-3.0329839044355755
4.741946053548254,-2.995390714305423
4.695749438782642,-2.9584809034426858
4.649043591705775,-2.9221695022766694
4.601890661953404,-2.886371541236679
4.554352799161284,-2.8510020507520206
4.506492152965169,-2.815976061251999
4.458370873000814,-2.7812086031659207
4.4100511089039705,-2.7466147069230904
4.361595010310394,-2.7121094029528137
4.3130642810722595,-2.6776085409596355
4.264476244111008,-2.6431095353344753
4.215766743295911,-2.6087595452623686
4.166862887227628,-2.5747217838828953
4.117691784506823,-2.541159464335636
4.068180543734153,-2.5082357997601705
4.018256273510281,-2.47611400329608
3.967846082435868,-2.4449572880829433
3.916877079111574,-2.4149288672603406
3.86527637213806,-2.3861919539678538
3.8129710701159865,-2.3589097613450614
3.759889135240508,-2.3332436289901097
3.7060213800578263,-2.309216947231573
3.6514633888602797,-2.286623144502667
3.59632067645087,-2.2652338529113676
3.5406987576326006,-2.244820704565653
3.4847031472084753,-2.2251553315735
3.4284393599814957,-2.2060093660428866
3.3720129107546657,-2.187154440081789
3.315529314330988,-2.1683621857981845
3.2590940855134654,-2.1494042353000506
3.2027980688721476,-2.1300900548988113
3.1466308900780504,-2.110490152187994
3.090539481138525,-2.090785140767088
3.034470623753799,-2.0711560218742986
2.9783710996241006,-2.0517837967478334
2.9221876904496575,-2.032849466625897
2.8658671779306983,-2.0145340327466976
2.80935634376745,-1.9970184963484403
2.752601969660141,-1.980483858669332
2.695550837308998,-1.965111120947579
2.6381499389055665,-1.9510806270229228
2.580377140483168,-1.9384762967274578
2.522273421647863,-1.927184935984919
2.463887473523028,-1.9170692664016284
2.405267987232044,-1.9079920095839105
2.346463653898286,-1.899815887138088
2.2875231646451355,-1.8924036206704844
2.2284952105959692,-1.8856179317874229
2.1694284032709144,-1.879321799529682
2.110356202721161,-1.8734272023194325
2.051279074057379,-1.8679528231948694
