0,0,1.1,1.1
0.303821468,-0.232118902,1.1,1.1
0.607636591,-0.464244226,1.1,1.1
0.911449039,-0.696372073,1.1,1.1
1.215262633,-0.928498162,1.1,1.1
1.51908089,-1.160618517,1.1,1.1
1.822905722,-1.392731227,1.1,1.1
2.126736899,-1.624836521,1.1,1.1
2.430574116,-1.85693463,1.1,1.1
2.734417219,-2.089025781,1.1,1.1
3.038265902,-2.321110511,1.1,1.1
3.342119938,-2.553188896,1.1,1.1
3.645979095,-2.785261318,1.1,1.1
3.949843145,-3.017328159,1.1,1.1
4.253711705,-3.249389572,1.1,1.1
4.5575847,-3.481446016,1.1,1.1
4.861461746,-3.71349772,1.1,1.1
5.165342614,-3.945544991,1.1,1.1
5.469227152,-4.177588056,1.1,1.1
5.773115054,-4.409627376,1.1,1.1
6.077006014,-4.641663179,1.1,1.1
6.380899802,-4.873695771,1.1,1.1
6.684796266,-5.105725382,1.1,1.1
6.988695024,-5.33775247,1.1,1.1
7.292595922,-5.569777188,1.1,1.1
7.596498654,-5.801799995,1.1,1.1
7.900402993,-6.033821043,1.1,1.1
8.204308707,-6.265840716,1.1,1.1
8.508215568,-6.497859318,1.1,1.1
8.812123193,-6.729877079,1.1,1.1
9.116031507,-6.961894382,1.1,1.1
9.419940126,-7.193911531,1.1,1.1
9.723848822,-7.425928834,1.1,1.1
10.02775744,-7.657946595,1.1,1.1
10.3316656,-7.889965044,1.1,1.1
10.63557315,-8.121984487,1.1,1.1
10.93947986,-8.354005383,1.1,1.1
11.24338534,-8.586027884,1.1,1.1
11.54728945,-8.818052296,1.1,1.1
11.85119196,-9.050079002,1.1,1.1
12.15509262,-9.28210823,1.1,1.1
12.45899154,-9.514139829,1.1,1.1
12.76288861,-9.746173797,1.1,1.1
13.06678416,-9.978209906,1.1,1.1
13.37067802,-10.21024823,1.1,1.1
13.67457043,-10.44228855,1.1,1.1
13.97846139,-10.67433077,1.1,1.1
14.2823509,-10.90637483,1.1,1.1
14.58623919,-11.13842057,1.1,1.1
14.89012617,-11.37046792,1.1,1.1
15.19401201,-11.60251687,1.1,1.1
15.4978967,-11.8345672,1.1,1.1
15.8017804,-12.06661883,1.1,1.1
16.1056631,-12.29867175,1.1,1.1
16.40954488,-12.53072575,1.1,1.1
16.71342591,-12.76278074,1.1,1.1
17.01730609,-12.99483665,1.1,1.1
17.32118566,-13.2268934,1.1,1.1
17.62506454,-13.45895084,1.1,1.1
17.92894288,-13.69100896,1.1,1.1
18.23282077,-13.92306755,1.1,1.1
18.5366982,-14.15512659,1.1,1.1
18.84057524,-14.38718587,1.1,1.1
19.14445206,-14.61924544,1.1,1.1
19.44832865,-14.8513051,1.1,1.1
