x_m,y_m
-0.020387299358844757,0.06174468994140625
0.30238330364227295,0.07365846633911133
0.6448944807052612,0.10081958770751953
1.0060495138168335,0.10617876052856445
1.4527024030685425,0.12083673477172852
1.9078255891799927,0.029569149017333984
2.267094373703003,-0.13569307327270508
2.4917163848876953,-0.3957056999206543
2.62019419670105,-0.804276704788208
2.653024435043335,-1.2800774574279785
2.6642935276031494,-1.9160349369049072
2.66408634185791,-2.789771556854248
2.67755389213562,-3.2358241081237793
2.691420555114746,-3.701202154159546
2.6847290992736816,-4.299435138702393
2.6664562225341797,-5.011699676513672
2.5675363540649414,-5.342717170715332
2.3561856746673584,-5.577698707580566
2.069345712661743,-5.7356038093566895
1.6983760595321655,-5.749580383300781
1.4052175283432007,-5.623561859130859
1.228188395500183,-5.317657947540283
1.071703553199768,-4.8789520263671875
1.0203206539154053,-4.403704643249512
1.0019474029541016,-3.5301520824432373
1.008126974105835,-2.9886364936828613
0.9756360054016113,-2.5133895874023438
0.9058538675308228,-1.9715723991394043
0.5773371458053589,-1.6356792449951172
0.2261883020401001,-1.585749864578247
-0.13558828830718994,-1.6676936149597168
-0.3943699598312378,-1.8729839324951172
-0.533622145652771,-2.4216644763946533
-0.6368467807769775,-3.1224846839904785
-0.6649258136749268,-3.9191575050354004
-0.700606107711792,-4.535176753997803
-0.7274999618530273,-5.218434810638428
-0.641320526599884,-5.978070259094238
-0.5809555053710938,-6.501155376434326
-0.32906949520111084,-6.8839640617370605
-0.11410129815340042,-7.179836273193359
0.18751728534698486,-7.372774124145508
0.4814695119857788,-7.435273170471191
0.8706647157669067,-7.468332290649414
1.2596737146377563,-7.5203938484191895
1.648640751838684,-7.5923261642456055
1.9601551294326782,-7.757017135620117
2.193899631500244,-8.08242416381836
2.2745540142059326,-8.500636100769043
2.1650784015655518,-8.92701530456543
1.9053820371627808,-9.169639587402344
1.4006117582321167,-9.297987937927246
0.5926655530929565,-9.31711196899414
-0.23402082920074463,-9.33303165435791
-0.9554616212844849,-9.314252853393555
-1.430392861366272,-9.319185256958008
-1.8270012140274048,-9.15182876586914
-2.061798334121704,-8.884933471679688
-2.218916654586792,-8.532103538513184
-2.379434823989868,-7.637957572937012
-2.377720355987549,-6.660820007324219
-2.373570203781128,-5.49360990524292
-2.3643195629119873,-4.715024948120117
-2.390655755996704,-3.7282705307006836
-2.3383078575134277,-3.264214515686035
-2.3188834190368652,-2.4386510848999023
-2.300801992416382,-1.6890759468078613
-2.286222219467163,-1.2722952365875244
-2.1954941749572754,-0.779740571975708
-2.115370035171509,-0.42940330505371094
-1.979213833808899,-0.1849532127380371
-1.7113038301467896,0.0019693374633789062
-1.3972359895706177,0.08431482315063477
-1.0837947130203247,0.08968019485473633
-0.704072117805481,0.07545280456542969
-0.3342553377151489,0.03360605239868164
-0.020387299358844757,0.06174468994140625
