x,y
-13.337738037109375,-4.397664546966553
-13.345346562385336,-4.261260711978022
-13.352876042644,-4.124843151295134
-13.360282161078214,-3.9884115942290195
-13.367520600880828,-3.851965770090811
-13.374547045244698,-3.715505408191641
-13.381317177362668,-3.579030237842642
-13.387786680427592,-3.4425399883549472
-13.393911237632318,-3.3060343890396884
-13.399646532169697,-3.169513169207999
-13.40494824723258,-3.032976058171011
-13.409772066013817,-2.896422785239856
-13.414073671706257,-2.759853079725668
-13.417808747502754,-2.6232666709395795
-13.420932976596152,-2.4866632881927218
-13.423402042179307,-2.350042660796229
-13.425171627445067,-2.2134045180612314
-13.42619741558628,-2.0767485892988637
-13.4264350897958,-1.9400746038202579
-13.42584033330782,-1.8033822909439372
-13.424381599259254,-1.6666736629168641
-13.42207617107407,-1.5299594615788088
-13.418953001969669,-1.3932525150268864
-13.415041045163461,-1.25656565135821
-13.410369253872858,-1.119911698669894
-13.404966581315264,-0.9833034850590523
-13.398861980708086,-0.8467538386227984
-13.392084405268736,-0.7102755874582469
-13.384662808214616,-0.5738815596625111
-13.376626142763136,-0.43758458333270545
-13.368003362131706,-0.3013974865659442
-13.35882336474966,-0.16533221616012872
-13.349114070843404,-0.02938498392795073
-13.338902557363435,0.10646156292038245
-13.32821587364407,0.24222522139751657
-13.317081069019634,0.3779237885161002
-13.305525192824451,0.5135750612887782
-13.293575294392836,0.6491968367281991
-13.281258423059112,0.784806911847008
-13.268601628157606,0.920423083657853
-13.255631959022635,1.0560631491733792
-13.24237646498852,1.1917449054062352
-13.228862195389581,1.3274861493690666
-13.215116199560144,1.4633046780745196
-13.20116552683453,1.5992182885352424
-13.187037226547055,1.7352447777638798
-13.172758348032046,1.8714019427730806
-13.15835594062382,2.0077075805754894
-13.143857053656703,2.144179488183755
-13.129288736465012,2.2808354626105234
-13.114678038383074,2.41769330086844
-13.100052008745203,2.5547707999701528
-13.085410525780684,2.692074864635514
-13.070422779145828,2.82947983387699
-13.05453735408589,2.9667716112962235
-13.037198818877203,3.1037344901812003
-13.017851741796107,3.2401527638199026
-12.99594069111894,3.3758107255003136
-12.970910235122039,3.51049266851042
-12.942204942081736,3.6439828861382035
-12.909269380274369,3.776065671671648
-12.871548117976278,3.906525318398738
-12.828485723463794,4.0351461196074565
-12.779545502399511,4.16171902576486
-12.724926951465452,4.286296547588721
-12.665790428020935,4.409272578607835
-12.603360962314019,4.5310639898888185
-12.538863584592763,4.652087652498286
-12.473523325105216,4.772760437502855
-12.40855640023995,4.893496428001586
-12.344673850073256,5.01454991158412
