x_m,y_m
-14.547320365905762,-4.392454147338867
-14.610838890075684,-2.899080514907837
-14.592194557189941,-0.6910891532897949
-14.492919921875,1.592695713043213
-14.256779670715332,4.702719688415527
-14.031785011291504,7.918788909912109
-13.864923477172852,10.735369682312012
-13.808520317077637,12.840457916259766
-13.597594261169434,14.379558563232422
-13.3633451461792,15.185529708862305
-12.967820167541504,15.96162223815918
-12.16061019897461,16.66481590270996
-11.224630355834961,17.182498931884766
-10.378650665283203,17.53514862060547
-9.043643951416016,17.68444061279297
-7.765677452087402,17.77806854248047
-6.241331100463867,17.691940307617188
-4.980982303619385,17.590436935424805
-4.12342643737793,17.272737503051758
-3.3871991634368896,16.59825325012207
-2.7475526332855225,15.683429718017578
-2.202059268951416,14.61662483215332
-1.7586807012557983,13.365524291992188
-1.4811739921569824,12.021653175354004
-1.3179889917373657,10.493936538696289
-1.2107056379318237,8.841410636901855
-1.0618069171905518,7.038469314575195
-0.8076093196868896,5.290414810180664
-0.7042577266693115,3.410567283630371
-0.6410480737686157,1.9755728244781494
-0.6002254486083984,0.4917106628417969
-0.613684892654419,-0.486946702003479
-0.7463537454605103,-1.5059486627578735
-0.9664950370788574,-2.117386817932129
-1.3013887405395508,-2.5644211769104004
-1.7835228443145752,-2.9322757720947266
-2.269207000732422,-3.2029356956481934
-2.6253349781036377,-3.7224435806274414
-2.818176507949829,-4.340278625488281
-2.7660932540893555,-5.122011661529541
-2.558204174041748,-5.864137649536133
-2.465566635131836,-6.753063201904297
-2.5699617862701416,-7.565726280212402
-2.905221700668335,-8.339945793151855
-3.3038511276245117,-9.018482208251953
-3.3221540451049805,-9.877225875854492
-3.094560384750366,-10.484395980834961
-2.6478264331817627,-10.818631172180176
-2.0501813888549805,-10.96607780456543
-1.5987930297851562,-11.08272933959961
-1.283487319946289,-11.446383476257324
-1.1559405326843262,-11.986339569091797
-1.2345306873321533,-12.483829498291016
-1.4504096508026123,-12.876322746276855
-1.8044965267181396,-13.119091033935547
-2.3306634426116943,-13.258241653442383
-2.9113147258758545,-13.255244255065918
-3.7592318058013916,-13.20124340057373
-4.5009050369262695,-13.083820343017578
-5.5478925704956055,-12.975165367126465
-6.307599067687988,-12.650949478149414
-6.985177993774414,-12.287384986877441
-7.580811977386475,-11.513436317443848
-7.759042263031006,-10.565736770629883
-7.809689521789551,-9.156052589416504
-7.684445858001709,-7.907678604125977
-7.496664047241211,-6.393550872802734
-7.19584846496582,-4.69294548034668
-6.833295822143555,-3.341085433959961
-6.331027030944824,-2.1516566276550293
-5.562196731567383,-1.2528128623962402
-4.738875865936279,-0.2693942189216614
-4.218222618103027,0.7152132391929626
-3.9162545204162598,2.0784552097320557
-3.865340232849121,3.3604161739349365
-4.106525421142578,5.054646015167236
-4.4311137199401855,7.7143988609313965
-4.654020309448242,10.241825103759766
-4.933070182800293,11.983409881591797
-5.212737560272217,13.03690242767334
-5.758268356323242,14.104434967041016
-6.478347301483154,14.689920425415039
-7.189394950866699,14.968344688415527
-8.090818405151367,15.093711853027344
-9.042314529418945,15.012125015258789
-9.615471839904785,14.509740829467773
-10.025717735290527,13.792901992797852
-10.339771270751953,12.466503143310547
-10.392555236816406,11.197821617126465
-10.381070137023926,9.88180160522461
-10.20187759399414,8.912031173706055
-9.871444702148438,7.764981746673584
-9.620981216430664,7.205091953277588
-9.185873031616211,6.172320365905762
-9.174622535705566,4.843243598937988
-9.26461124420166,3.404928684234619
-9.579736709594727,1.7396756410598755
-9.724202156066895,0.008821487426757812
-9.731674194335938,-1.8257673978805542
-9.826448440551758,-3.88136625289917
-9.926816940307617,-5.164342403411865
-10.208178520202637,-6.610461235046387
-10.872220993041992,-8.33572006225586
-11.354050636291504,-9.679903030395508
-12.1138277053833,-10.308551788330078
-12.96580696105957,-10.411420822143555
-13.7850341796875,-10.139557838439941
-14.416890144348145,-9.37901782989502
-14.657665252685547,-8.047896385192871
-14.6387357711792,-6.177631378173828
-14.547320365905762,-4.392454147338867
